"year","ESEA","Nsc","r"
1962,1033.665666,0.595328014879475,0.0237157377603277
1963,1058.472807,0.609615406337019,0.0289456169745397
1964,1089.558685,0.627518965146454,0.0255605559418482
1965,1117.76739,0.643765448803938,0.0247196157497777
1966,1145.742513,0.659877403558174,0.0237478135691238
1967,1173.277041,0.675735602620077,0.0226312498273028
1968,1200.132507,0.691202703626065,0.0257461599811422
1969,1231.432509,0.709229584724371,0.0247763309533222
1970,1262.323997,0.727021186818382,0.024555638701734
1971,1293.704881,0.745094650987098,0.0229059267478603
1972,1323.680388,0.762358704214649,0.0218603310199907
1973,1352.935073,0.779207608187991,0.0209587816933786
1974,1381.590183,0.7957111937414,0.0191624653048718
1975,1408.320145,0.81110601214225,0.0170770328283379
1976,1432.576599,0.825076241668898,0.0161131396675292
1977,1455.846881,0.838478496618852,0.0151164624884163
1978,1478.021313,0.851249609192151,0.0149540928541391
1979,1500.289869,0.864074931415548,0.0156035027489946
1980,1523.883237,0.877663264082255,0.0157870767663378
1981,1548.131802,0.891628950028842,0.0162064849194388
1982,1573.425988,0.90619684952931,0.0172039361472964
1983,1600.729297,0.921921880631011,0.015495200889406
1984,1625.726084,0.936318496550994,0.0158840679048541
1985,1651.755406,0.951309789291599,0.0161682891951829
1986,1678.678529,0.966815856579265,0.0169092631817807
1987,1707.305091,0.98330300023591,0.0174746700301998
1988,1737.401884,1.00063690675935,0.0164371119654261
1989,1766.195749,1.01722040668103,0.0164905684299355
1990,1795.562795,1.03413402369775,0.0168715475342139
1991,1826.113714,1.05172947893947,0.0132005942739019
1992,1850.379308,1.06570497254544,0.0127253233133569
1993,1874.07644,1.07935306691089,0.0118167307222123
1994,1896.353257,1.09218314696353,0.0112774298883413
1995,1917.860292,1.10456987980534,0.01098232058471
1996,1939.038931,1.11676747669613,0.0106453197385279
1997,1959.79088,1.12871932632161,0.0101491791372864
1998,1979.782426,1.14023323046492,0.00968118352661655
1999,1999.042141,1.15132564484535,0.00887825538540205
2000,2016.869167,1.16159291824803,0.00910759795530058
2001,2035.321903,1.17222056222742,0.00834191638030323
2002,2052.371402,1.18204002777438,0.00769888803265674
2003,2068.233361,1.19117554312927,0.00749795135623965
2004,2083.799157,1.20014048676386,0.00731206956492426
2005,2099.091884,1.20894815940548,0.00763224989597373
2006,2115.173971,1.21821045498493,0.00762729952052107
2007,2131.368719,1.22753763638936,0.00778856814673212
2008,2148.033844,1.23713572609119,0.00776706033267184
2009,2164.782713,1.24678204719987,0.00800791280205947
2010,2182.1877,1.25680625202792,0.00789841296682886
2011,2199.491767,1.26677233312677,0.00764045677814572
2012,2216.361252,1.27648812165243,0.0084893184970747
2013,2235.25674,1.28737076362384,0.00760184775188926
2014,2252.313571,1.29719445195303,0.00752449491174056
2015,2269.325014,1.30699199957847,0.00660073810492995
2016,2284.35378,1.3156476468764,0.00700421145572817
2017,2300.410042,1.32489506884005,0.00656529904998757
2018,2315.562608,1.33362201734364,0.00504283615555547
2019,2327.269103,1.34036424034551,0.00430713530033346
2020,2337.314584,1.3461498211759,0.00274032222572449
2021,2343.728363,1.34984376443583,0.00129007221623824
2022,2346.753893,1.35158628411904,0.0012004447573581
2023,2349.572733,1.35320976304134,NA
