"year","SSA","Nsc","r"
2008,803.684022,1.32216941690619,0.0277562877867308
2009,826.303775,1.35938198405434,0.0273825389285704
2010,849.2427,1.39711963251005,0.0279476126290051
2011,873.311776,1.43671653292023,0.0274064204345599
2012,897.57712,1.47663632085837,0.0275819215995559
2013,922.678604,1.51793167270718,0.0275300461156292
2014,948.43287,1.56030093964287,0.0267399184819095
2015,974.136006,1.60258609078127,0.0268807107530689
2016,1000.676591,1.6462489593132,0.0258313016843992
2017,1026.862117,1.68932770754642,0.0261282198111243
2018,1054.04578,1.73404852676669,0.0261550395764844
2019,1081.978082,1.78000095886343,0.0256503869304142
2020,1110.090241,1.82624928016327,0.0256682399507249
2021,1138.953149,1.87373268557627,0.0248315386316939
2022,1167.589175,1.92084283927164,0.0246586647454843
2023,1196.738277,1.9687970727013,NA
