"year","pop","r","rpcap"
-10000,4432266,NA,NA
-9000,5616996,0.236886035731619,4.21730825038187e-08
-8000,7242892,0.254223572727385,3.50997326382038e-08
-7000,9577918,0.279439666443971,2.91754081047646e-08
-6000,13201832,0.320895367243478,2.43068815936665e-08
-5000,19075771,0.368063387909829,1.92948105693777e-08
-4000,28774661,0.411076177727806,1.42860476350288e-08
-3000,44487162,0.435705479689061,9.79395987743748e-09
-2000,72586076,0.489572459635304,6.74471588235881e-09
-1000,110419521,0.419513826061274,3.79927228683843e-09
0,232123764,0.742983756077168,3.20080866893563e-09
100,236904172,0.0203850268745111,8.60475638838101e-11
200,240611571,0.0155281728375904,6.45362680317249e-11
300,227549847,-0.055814572570781,-2.45285036692558e-10
400,241539639,0.0596642741869166,2.47016491512255e-10
500,253237316,0.0472934607085104,1.86755496605052e-10
600,271478693,0.0695566004948486,2.562138476733e-10
700,278185334,0.0244039031572779,8.7725340536025e-11
800,285713840,0.0267031898552708,9.34613102930917e-11
900,310967715,0.0846983460156318,2.72370223435033e-10
1000,323407571,0.0392242610047799,1.21284300437048e-10
1100,397923813,0.207347204831327,5.21072622591015e-10
1200,444750779,0.111253515752932,2.50147995250464e-10
1300,456389076,0.0258316044666376,5.65999622362514e-11
1400,442480757,-0.0309487060601132,-6.99436203055339e-11
1500,503240579,0.128671367529993,2.55685596311964e-10
1600,515751843,0.024557381354979,4.76147234145298e-11
1700,591721866,0.1374109781559,2.32222241650099e-10
1710,613189754,0.0356377342532536,5.81186068762226e-11
1720,642718425,0.0470322822943188,7.31771184159203e-11
1730,664734940,0.0336816546477975,5.06693008310915e-11
1740,695347041,0.0450226857716325,6.47485113431762e-11
1750,745664504,0.0698647120002734,9.36945658878693e-11
1760,779892249,0.0448799953285228,5.7546405142594e-11
1770,818828314,0.0487186652288317,5.94980222298855e-11
1780,891049119,0.0845251208351986,9.48602260333963e-11
1790,931578147,0.0444805263451207,4.77474986809891e-11
1800,984741159,0.055498743654969,5.63587122846857e-11
1801,987628322,0.00292761076456038,2.96428393085347e-12
1802,991098738,0.00350772941709344,3.53923305782015e-12
1803,994610260,0.00353679785304617,3.55596357214953e-12
1804,998163240,0.00356586813784966,3.57242983407169e-12
1805,1001758044,0.00359494936151849,3.5886403738411e-12
1806,1005395067,0.00362406530995847,3.60461815351087e-12
1807,1009074742,0.0036532481907045,3.62039404877355e-12
1808,1012797513,0.00368250288590767,3.63597149345258e-12
1809,1016563866,0.00371186459282732,3.65138356474626e-12
1810,1022630209,0.00594976316370516,5.81809838135259e-12
1811,1027487469,0.00473852710087553,4.61176145095696e-12
1812,1033631136,0.00596150573804839,5.76753691952289e-12
1813,1040443689,0.00656926878208666,6.31391093197996e-12
1814,1047427292,0.00668971321299944,6.38680437687071e-12
1815,1054586106,0.00681141393748428,6.45885044258708e-12
1816,1061924513,0.0069344668917105,6.53009400086285e-12
1817,1069447070,0.00705891764377317,6.60053016347333e-12
1818,1077158552,0.00718484578112914,6.67018403909877e-12
1819,1084757875,0.00703020172655884,6.48089485089826e-12
1820,1092947430,0.00752130564967984,6.88167192971014e-12
1821,1099331577,0.00582422677617318,5.29797096529065e-12
